Program Code,Program Title,Program Genre,Air Date,Air Time,Duration
EP000000351217,60 Minutes,Newsmagazine,20150105,000000,61.0
EP000000351217,60 Minutes,Newsmagazine,20150105,003000,61.0
EP000000351217,60 Minutes,Newsmagazine,20150105,010000,61.0
EP000000351217,60 Minutes,Newsmagazine,20150105,020000,61.0
EP000000351217,60 Minutes,Newsmagazine,20150105,030000,61.0
EP000000860003,The Abbott & Costello Show,Sitcom,20150104,120000,30.0
EP000000860003,The Abbott & Costello Show,Sitcom,20150104,130000,30.0
EP000000860003,The Abbott & Costello Show,Sitcom,20150104,150000,30.0
EP000000860021,The Abbott & Costello Show,Sitcom,20150104,123000,30.0
EP000000860021,The Abbott & Costello Show,Sitcom,20150104,133000,30.0
EP000000860021,The Abbott & Costello Show,Sitcom,20150104,153000,30.0
EP000001150059,The Addams Family,Sitcom,20150104,100000,30.0
EP000001150060,The Addams Family,Sitcom,20150104,180000,30.0
EP000001150061,The Addams Family,Sitcom,20150104,183000,30.0
EP000001830095,Alfred Hitchcock Hour,"Anthology,Drama,Suspense",20150104,070000,60.0
EP000001830095,Alfred Hitchcock Hour,"Anthology,Drama,Suspense",20150104,080000,60.0
EP000001830095,Alfred Hitchcock Hour,"Anthology,Drama,Suspense",20150104,090000,60.0
EP000001830095,Alfred Hitchcock Hour,"Anthology,Drama,Suspense",20150104,110000,60.0
EP000001840029,Alfred Hitchcock Presents,"Anthology,Drama,Suspense",20150104,083000,30.0
EP000001840033,Alfred Hitchcock Presents,"Anthology,Drama,Suspense",20150104,080000,30.0
EP000002040029,All in the Family,Sitcom,20150105,020000,30.0
EP000002040030,All in the Family,Sitcom,20150105,023000,30.0
EP000002360089,Amen,Sitcom,20150104,104500,25.0
EP000002360089,Amen,Sitcom,20150104,134500,25.0
EP000002880190,American Masters,"Anthology,Documentary,Biography",20150104,170000,90.0
EP000002880190,American Masters,"Anthology,Documentary,Biography",20150105,040000,90.0
EP000002880190,American Masters,"Anthology,Documentary,Biography",20150105,074500,90.0
EP000002880190,American Masters,"Anthology,Documentary,Biography",20150105,100000,90.0
EP000002880191,American Masters,"Anthology,Documentary,Biography",20150104,113000,90.0
EP000003240004,The Andy Griffith Show,Sitcom,20150104,090000,30.0
EP000003240005,The Andy Griffith Show,Sitcom,20150104,093000,30.0
EP000003240006,The Andy Griffith Show,Sitcom,20150104,100000,30.0
EP000003240007,The Andy Griffith Show,Sitcom,20150104,103000,30.0
EP000003240015,The Andy Griffith Show,Sitcom,20150104,113000,30.0
EP000003240102,The Andy Griffith Show,Sitcom,20150105,003000,30.0
EP000003240126,The Andy Griffith Show,Sitcom,20150105,043500,30.0
EP000003240204,The Andy Griffith Show,Sitcom,20150104,193000,60.0
EP000003500735,Antiques Roadshow,"Collectibles,Art,Arts/crafts",20150105,010000,30.0
EP000003500735,Antiques Roadshow,"Collectibles,Art,Arts/crafts",20150105,043000,30.0
EP000003500735,Antiques Roadshow,"Collectibles,Art,Arts/crafts",20150105,093000,30.0
EP000003500742,Antiques Roadshow,"Collectibles,Art,Arts/crafts",20150104,233000,30.0
EP000003500753,Antiques Roadshow,"Collectibles,Art,Arts/crafts",20150104,233000,30.0
EP000003690026,Are You Being Served?,Sitcom,20150105,054000,30.0
EP000003920007,Art of the Western World,"Educational,Art",20150105,030000,60.0
EP000004390492,Austin City Limits,Music,20150104,010000,60.0
EP000004390492,Austin City Limits,Music,20150104,020000,60.0
EP000004390492,Austin City Limits,Music,20150104,030000,60.0
EP000004390492,Austin City Limits,Music,20150104,040000,60.0
EP000004390492,Austin City Limits,Music,20150104,040000,64.0
EP000004390492,Austin City Limits,Music,20150104,050000,60.0
EP000004390492,Austin City Limits,Music,20150104,053000,60.0
EP000004390492,Austin City Limits,Music,20150104,060000,60.0
EP000004390492,Austin City Limits,Music,20150104,070000,60.0
EP000004390492,Austin City Limits,Music,20150104,070100,59.0
EP000004390492,Austin City Limits,Music,20150104,073000,60.0
EP000004390492,Austin City Limits,Music,20150104,080000,60.0
EP000004390492,Austin City Limits,Music,20150104,083000,60.0
EP000004390492,Austin City Limits,Music,20150104,090000,60.0
EP000004390492,Austin City Limits,Music,20150104,100000,60.0
EP000004390492,Austin City Limits,Music,20150104,110000,60.0
EP000004390492,Austin City Limits,Music,20150104,120000,60.0
EP000004390492,Austin City Limits,Music,20150105,040000,60.0
EP000004390492,Austin City Limits,Music,20150105,040300,57.0
EP000004390492,Austin City Limits,Music,20150105,041500,45.0
EP000004390492,Austin City Limits,Music,20150105,041500,75.0
EP000004390492,Austin City Limits,Music,20150105,043000,60.0
EP000004390492,Austin City Limits,Music,20150105,050000,60.0
EP000004390492,Austin City Limits,Music,20150105,051500,60.0
EP000004390492,Austin City Limits,Music,20150105,060000,60.0
EP000004390492,Austin City Limits,Music,20150105,070000,60.0
EP000004390492,Austin City Limits,Music,20150105,071500,45.0
EP000004390492,Austin City Limits,Music,20150105,080000,60.0
EP000004390492,Austin City Limits,Music,20150105,093000,60.0
EP000004390492,Austin City Limits,Music,20150105,100300,57.0
EP000004390492,Austin City Limits,Music,20150105,140000,60.0
EP000004790247,Barney & Friends,"Children,Educational",20150104,020000,30.0
EP000004790247,Barney & Friends,"Children,Educational",20150104,100000,30.0
EP000004790301,Barney & Friends,"Children,Educational",20150104,120000,30.0
EP000004790301,Barney & Friends,"Children,Educational",20150104,123000,30.0
EP000004790301,Barney & Friends,"Children,Educational",20150104,130000,30.0
EP000004790301,Barney & Friends,"Children,Educational",20150104,143000,30.0
EP000004790301,Barney & Friends,"Children,Educational",20150104,163000,30.0
EP000004790301,Barney & Friends,"Children,Educational",20150104,213000,30.0
EP000004790324,Barney & Friends,"Children,Educational",20150104,123000,30.0
EP000004800102,Barney Miller,Sitcom,20150105,050000,30.0
EP000004800103,Barney Miller,Sitcom,20150105,053000,30.0
EP000004900080,Batman,"Adventure,Fantasy",20150104,144500,33.0
EP000004900080,Batman,"Adventure,Fantasy",20150104,174500,33.0
EP000004900081,Batman,"Adventure,Fantasy",20150104,151800,33.0
EP000004900081,Batman,"Adventure,Fantasy",20150104,181800,33.0
EP000004900082,Batman,"Adventure,Fantasy",20150104,155100,33.0
EP000004900082,Batman,"Adventure,Fantasy",20150104,185100,33.0
EP000004900084,Batman,"Adventure,Fantasy",20150104,162400,33.0
EP000004900084,Batman,"Adventure,Fantasy",20150104,192400,33.0
EP000004900085,Batman,"Adventure,Fantasy",20150104,165700,33.0
EP000004900085,Batman,"Adventure,Fantasy",20150104,195700,33.0
EP000005181581,Kenneth Copeland,Religious,20150105,020000,30.0
EP000005361090,The Best of the Joy of Painting,"How-to,Art",20150104,103000,30.0
EP000005361121,The Best of the Joy of Painting,"How-to,Art",20150104,220000,30.0
EP000005361129,The Best of the Joy of Painting,"How-to,Art",20150104,180000,30.0
EP000005361131,The Best of the Joy of Painting,"How-to,Art",20150104,153000,30.0
EP000005361134,The Best of the Joy of Painting,"How-to,Art",20150104,193000,30.0
EP000005361134,The Best of the Joy of Painting,"How-to,Art",20150105,173000,30.0
