MSO_Code,Device ID,Event Date,Event Time,Station Number,Program Code
01540,0000000050f3,20150104,210001,99993,MP_MISSINGPROGRAM
01540,0000000050f3,20150104,211549,31709,EP017396030019
01540,0000000050f3,20150104,220100,31709,EP014195250085
01540,0000000050f3,20150104,220314,58646,MV005433960000
01540,0000000050f3,20150104,220414,48639,SP003015450000
01540,0000000050f3,20150104,221340,36205,SH020325450000
01540,0000000050f3,20150104,223000,48639,SH013528500000
01540,0000000050f3,20150104,230000,48639,SH019590630000
01540,0000000050f3,20150104,230300,36205,EP000004390492
01540,000000005518,20150104,000000,11896,EP012801050033
01540,000000005518,20150104,003500,11896,SH019685620000
01540,000000005518,20150104,010500,11896,EP000023483059
01540,000000005518,20150104,013500,11896,SH019199090000
01540,000000005518,20150104,020500,11896,SH000191120000
01540,000000005518,20150104,060000,11896,SH016338880000
01540,000000005518,20150104,063000,11896,SH009585240000
01540,000000005518,20150104,083000,11896,SH013854920000
01540,000000005518,20150104,090000,11896,EP000191281181
01540,000000005518,20150104,103000,11896,EP000015221152
01540,000000005518,20150104,113000,11896,SH006420720000
01540,000000005518,20150104,113035,10179,SH020520650000
01540,000000005518,20150104,115447,11913,SH000405100000
01540,000000005518,20150104,115555,18480,MV006138580000
01540,000000005518,20150104,115610,30754,SH006420720000
01540,000000005518,20150104,115657,18480,MV006138580000
01540,000000005518,20150104,115712,16062,EP004941440385
01540,000000005518,20150104,115742,11150,EP006114420192
01540,000000005518,20150104,120000,11150,EP006114420171
01540,000000005518,20150104,123122,12131,EP017123260091
01540,000000005518,20150104,130000,12131,EP017123260081
01540,000000005518,20150104,133000,12131,EP016164300049
01540,000000005518,20150104,134500,12131,EP016164300045
01540,000000005518,20150104,140000,12131,EP016164300072
01540,000000005518,20150104,141101,11896,EP000031281216
01540,000000005518,20150104,163000,11896,SP003085720000
01540,000000005518,20150104,183000,11896,SH016607200000
01540,000000005518,20150104,183835,14771,EP012124070064
01540,000000005518,20150104,190000,14771,EP012124070086
01540,000000005518,20150104,200000,14771,EP010237320162
01540,000000005518,20150104,205622,11913,EP019218470001
01540,000000005518,20150104,205648,11069,SH015729450000
01540,000000005518,20150104,205721,24634,SH004010240000
01540,000000005518,20150104,205732,12131,EP002070020153
01540,000000005518,20150104,205825,10142,SH020504750000
01540,000000005518,20150104,205849,10093,MV002596510000
01540,000000005518,20150104,205946,14771,EP010237320162
01540,000000005518,20150104,210000,14771,EP010237320161
01540,000000005518,20150104,210026,19746,SH001376600000
01540,000000005518,20150104,213000,19746,SH010585200000
01540,000000005518,20150104,220000,19746,SH000023120000
01540,000000005518,20150104,223000,19746,SH007492330000
01540,000000005518,20150104,230000,19746,SH006116730000
01540,000000005518,20150104,233000,19746,SH015115930000
01540,0000000057f6,20150104,054745,14909,SH000000010000
01540,0000000057f6,20150104,054756,99993,MP_MISSINGPROGRAM
01540,0000000057f6,20150104,054958,10021,EP005240610030
01540,0000000057f6,20150104,055058,10918,SH019135630000
01540,0000000057f6,20150104,055106,12444,SH000199170000
01540,0000000057f6,20150104,055113,21320,SH000000010000
01540,0000000057f6,20150104,055251,99993,MP_MISSINGPROGRAM
01540,0000000057f6,20150104,060721,10021,EP009357770025
01540,0000000057f6,20150104,061057,11428,EP003610630654
01540,0000000057f6,20150104,061105,11590,SH000276310000
01540,0000000057f6,20150104,061112,11628,SH019669700000
01540,0000000057f6,20150104,152318,11628,SH018578840000
01540,0000000057f6,20150104,152400,11428,SH020436270000
01540,0000000057f6,20150104,152421,11590,EP005927330046
01540,0000000057f6,20150104,152428,11896,EP000031281216
01540,0000000057f6,20150104,152438,99993,MP_MISSINGPROGRAM
01540,0000000057f6,20150104,181010,11428,SH015073210000
01540,0000000057f6,20150104,182953,11590,EP000031281283
01540,0000000057f6,20150104,185113,99993,MP_MISSINGPROGRAM
01540,0000000057f6,20150104,200407,11428,EP019218470001
01540,0000000057f6,20150104,200414,11628,EP000191552762
01540,0000000057f6,20150104,200424,11590,EP000186930566
01540,0000000057f6,20150104,200432,14909,EP013320550548
01540,0000000057f6,20150104,203000,14909,EP013320550549
01540,0000000057f6,20150104,210000,14909,EP013320550550
01540,0000000057f6,20150104,213000,14909,EP013320550551
01540,0000000057f6,20150104,220000,14909,EP013320550462
01540,0000000057f6,20150104,220242,11590,SH003298970000
01540,0000000057f6,20150104,230000,11590,SH015976950000
01540,0000000057f6,20150104,233000,11590,EP009311820040
01540,000000005b0a,20150104,082826,31226,EP019152140400
01540,000000005b0a,20150104,082935,19746,SH006126000000
01540,000000005b0a,20150104,083000,19746,SH011819910000
01540,000000005b0a,20150104,083133,58812,SH006197570000
01540,000000005b0a,20150104,083512,11896,SH013854920000
01540,000000005b0a,20150104,083803,10179,SH000199170000
01540,000000005b0a,20150104,083809,11913,EP000018936973
01540,000000005b0a,20150104,084007,31226,EP019152140400
01540,000000005b0a,20150104,084036,19601,SH018699630000
01540,000000005b0a,20150104,084100,11187,SH006197570000
01540,000000005b0a,20150104,090000,11187,SH006197570000
01540,000000005b0a,20150104,093140,60179,SH004948350000
01540,000000005b0a,20150104,100000,60179,SH011029750000
01540,000000005b0a,20150104,110000,60179,EP017943800060
01540,000000005b0a,20150104,120000,60179,SH011029750000
01540,000000005b0a,20150104,130000,60179,SH011029750000
01540,000000005b0a,20150104,130928,30754,EP000031281216
01540,000000005b0a,20150104,163000,30754,SP003085720000
01540,000000005b0a,20150104,164755,60179,SH015515540000
01540,000000005b0a,20150104,164815,58718,SH016338880000
01540,000000005b0a,20150104,164829,60179,SH015515540000
01540,000000005b0a,20150104,164836,31226,SH018102790000
01540,000000005b0a,20150104,164842,99993,MP_MISSINGPROGRAM
01540,000000005b0a,20150104,164851,19746,SH013987750000
01540,000000005b0a,20150104,164900,24959,EP017200220020
01540,000000005b0a,20150104,164908,60179,SH015515540000
01540,000000005b0a,20150104,170000,60179,EP017943800060
01540,000000005b0a,20150104,174004,42599,EP000031281283
01540,000000005b0a,20150104,181049,60179,EP001777901015
01540,000000005b0a,20150104,191025,60179,SH003798320000
01540,000000005b0a,20150104,191059,42599,EP000031281283
01540,000000005b0a,20150104,193000,42599,SH007795570000
01540,000000005b0a,20150104,200000,42599,EP000186930566
